grid_id,lat,lon,freq,max_mag,avg_mag,avg_depth,gempa_in_radius_50,density
-0.1_100.0,-0.06314277164578348,100.06940002220703,10,4.513359565,2.392121638791076,9.4,497,0.0069360556015517355
-0.1_100.10000000000001,-0.03541607604740082,100.15842794084725,29,5.0305151,3.128915250279211,10.0,501,0.007222161865878686
-0.1_100.2,-0.07936189849400106,100.22927625953776,12,4.063985542,2.437034271598609,11.25,518,0.0066763699338105295
-0.1_100.30000000000001,-0.05380804092,100.375061,1,3.210417552,3.210417552,150.0,422,0.004832529537879587
-0.1_100.4,-0.09573826939,100.4011841,1,2.525811696,2.525811696,10.0,387,0.004768725235190943
-0.1_100.5,-0.02062228322,100.5819244,1,3.635440565,3.635440565,160.0,219,0.0017765404873993863
-0.1_100.7,-0.007195004262,100.7468491,1,3.79607706,3.79607706,10.0,65,0.0006283837246903075
-0.1_103.7,-0.006942076143,103.7237701,1,4.184844541,4.184844541,10.0,9,9.877336899114219e-05
-0.1_104.0,-0.003335022135,104.0091324,1,5.753507376,5.753507376,155.0,7,9.031753642137128e-05
-0.1_106.0,-0.07326018065,106.0425415,1,5.462217326,5.462217326,10.0,6,0.00010287623145961665
-0.1_108.9,-0.08954523504,108.9164429,1,5.576293077,5.576293077,534.0,5,7.782186117908316e-05
-0.1_114.9,-0.01425612718,114.9397507,1,5.976150773,5.976150773,10.0,2,4.55526087477531e-05
-0.1_116.7,-0.0099858548,116.79717,1,4.9790048,4.9790048,10.0,4,5.519940945959245e-05
-0.1_117.30000000000001,-0.03451094404,117.3430023,1,5.020332427,5.020332427,577.0,2,5.402646012942715e-05
-0.1_118.60000000000001,-0.07555107027,118.6301956,1,5.583104949,5.583104949,434.0,8,0.00012396045821095662
-0.1_119.0,-0.02788751759,119.0204239,1,3.688090482,3.688090482,10.0,28,0.00034447290131497894
-0.1_119.2,-0.029403734950000003,119.27769855,2,5.428279721,4.322701525,10.0,173,0.0016573230781798704
-0.1_119.30000000000001,-0.008215369657,119.385231,1,4.423770949,4.423770949,10.0,259,0.002857074126059144
-0.1_119.4,-0.063419490585,119.4649086,4,4.136284009,3.81374972125,11.75,357,0.003999744118834021
-0.1_119.5,-0.05531805111847711,119.56924198332031,10,3.672695694,3.1357207457131118,11.5,431,0.005575887738632238
-0.1_119.60000000000001,-0.0447150112225999,119.63671101823381,6,4.2733592,3.046539421774405,25.571428571428573,463,0.006382380811330533
-0.1_119.7,-0.04665265851859588,119.7443771338658,14,4.943604372,3.5501584147792222,16.785714285714285,509,0.007129498901342981
-0.1_119.80000000000001,-0.05764646239583333,119.84072965833333,12,4.98792315,3.7457444964166666,10.25,506,0.00705217842322747
-0.1_119.9,-0.05376053021320382,119.9460482425171,8,4.298984628,3.3507321434580866,16.125,489,0.005997605263750557
-0.1_120.0,-0.048049410805,120.04402160000001,2,3.846279069,3.4233104594999997,10.0,434,0.004682550970291616
-0.1_120.10000000000001,-0.027075120596860375,120.14766312956543,4,3.48781511,2.77943903833202,48.75,341,0.0034228003175361755
-0.1_120.2,-0.052413164105,120.25109205000001,4,4.489540636,3.2990766455,19.5,233,0.002588838720633732
-0.1_120.30000000000001,-0.04813477722,120.36892879999999,3,4.3670478,3.449477315333333,47.333333333333336,180,0.002026355387224048
-0.1_120.4,-0.04655979574,120.4564743,2,3.819597067,3.530470279,50.0,158,0.0017894165664391112
-0.1_120.5,-0.03712745721,120.5527458,2,3.836242001,3.4386081055,47.5,153,0.001639910886959353
-0.1_120.7,-0.02879416943,120.7974625,1,2.773859935,2.773859935,10.0,151,0.0014009362986063477
-0.1_121.0,-0.03501359,121.00007,1,3.0814807,3.0814807,21.0,131,0.001495321996636633
-0.1_121.10000000000001,-0.069305933855,121.12220995,2,4.6360605,3.5494235630000004,63.0,122,0.0015364910233479955
-0.1_121.2,-0.04800105244,121.24059448,5,5.280265231,3.4129747092000002,12.8,178,0.0019482245391544465
-0.1_121.5,-0.06777845944,121.5692317,3,2.904704194,2.701469113,60.666666666666664,468,0.004629579865420221
-0.1_121.60000000000001,-0.08508280665000001,121.64048385000001,2,3.138269634,2.7187260364999997,10.5,574,0.005647063721155464
-0.1_121.7,-0.053341678715555556,121.74082591111112,9,4.375553376,2.9578415164444447,78.11111111111111,838,0.008145047766835323
-0.1_121.80000000000001,-0.0294853435935056,121.84482319756944,9,3.468661135,2.466869275159787,166.44444444444446,1153,0.011040387840098581
-0.1_121.9,-0.043391866598750904,121.95051656917168,22,4.047986058047393,2.904714139093063,205.0,1270,0.012227004978920993
