quarter_end,count_all,count_m5,quarter
2008-12-31,318,64.0,2008Q4
2009-03-31,901,223.0,2009Q1
2009-06-30,653,85.0,2009Q2
2009-09-30,600,99.0,2009Q3
2009-12-31,1365,104.0,2009Q4
2010-03-31,1483,68.0,2010Q1
2010-06-30,1937,74.0,2010Q2
2010-09-30,1245,64.0,2010Q3
2010-12-31,1503,78.0,2010Q4
2011-03-31,1071,60.0,2011Q1
2011-06-30,936,63.0,2011Q2
2011-09-30,780,48.0,2011Q3
2011-12-31,1654,59.0,2011Q4
2012-03-31,2029,46.0,2012Q1
2012-06-30,1461,48.0,2012Q2
2012-09-30,1523,56.0,2012Q3
2012-12-31,1543,69.0,2012Q4
2013-03-31,1109,41.0,2013Q1
2013-06-30,934,38.0,2013Q2
2013-09-30,649,95.0,2013Q3
2013-12-31,1185,44.0,2013Q4
2014-03-31,1178,54.0,2014Q1
2014-06-30,1117,41.0,2014Q2
2014-09-30,945,40.0,2014Q3
2014-12-31,1393,67.0,2014Q4
2015-03-31,1264,46.0,2015Q1
2015-06-30,1156,44.0,2015Q2
2015-09-30,1120,31.0,2015Q3
2015-12-31,1731,43.0,2015Q4
2016-03-31,1512,24.0,2016Q1
2016-06-30,1404,33.0,2016Q2
2016-09-30,1380,30.0,2016Q3
2016-12-31,1234,9.0,2016Q4
2017-03-31,1371,14.0,2017Q1
2017-06-30,1956,28.0,2017Q2
2017-09-30,1961,21.0,2017Q3
2017-12-31,1654,25.0,2017Q4
2018-03-31,2302,72.0,2018Q1
2018-06-30,1725,18.0,2018Q2
2018-09-30,3491,41.0,2018Q3
2018-12-31,1753,18.0,2018Q4
2019-03-31,2689,53.0,2019Q1
2019-06-30,2994,69.0,2019Q2
2019-09-30,2419,62.0,2019Q3
2019-12-31,3343,175.0,2019Q4
2020-03-31,2189,123.0,2020Q1
2020-06-30,2153,158.0,2020Q2
2020-09-30,2408,271.0,2020Q3
2020-12-31,2392,279.0,2020Q4
2021-03-31,2434,257.0,2021Q1
2021-06-30,3015,343.0,2021Q2
2021-09-30,2632,87.0,2021Q3
2021-12-31,3118,81.0,2021Q4
2022-03-31,2836,55.0,2022Q1
2022-06-30,2253,32.0,2022Q2
2022-09-30,2137,50.0,2022Q3
2022-12-31,3127,47.0,2022Q4
2023-03-31,3217,52.0,2023Q1
2023-06-30,2728,53.0,2023Q2
2023-09-30,2374,63.0,2023Q3
