quarter_end,count_all,count_m5,quarter,lag_1,lag_2,lag_4,lag_8,roll_mean_2,roll_std_2,roll_mean_4,roll_std_4,roll_mean_8,roll_std_8,yoy_diff_4,yoy_ratio_4
2008-12-31,318,64.0,2008Q4,,,,,,,,,,,,
2009-03-31,901,223.0,2009Q1,64.0,,,,,,,,,,,
2009-06-30,653,85.0,2009Q2,223.0,64.0,,,143.5,112.42997820866105,,,,,,
2009-09-30,600,99.0,2009Q3,85.0,223.0,,,154.0,97.58073580374356,,,,,,
2009-12-31,1365,104.0,2009Q4,99.0,85.0,64.0,,92.0,9.899494936611665,117.75,71.62576352123585,,,40.0,1.625
2010-03-31,1483,68.0,2010Q1,104.0,99.0,223.0,,101.5,3.5355339059327378,127.75,64.00716105770249,,,-155.0,0.30493273542600896
2010-06-30,1937,74.0,2010Q2,68.0,104.0,85.0,,86.0,25.45584412271571,89.0,16.145174717749796,,,-11.0,0.8705882352941177
2010-09-30,1245,64.0,2010Q3,74.0,68.0,99.0,,71.0,4.242640687119285,86.25,17.8955301681733,,,-35.0,0.6464646464646465
2010-12-31,1503,78.0,2010Q4,64.0,74.0,104.0,64.0,69.0,7.0710678118654755,77.5,18.13835714721707,97.625,52.93914970443492,-26.0,0.75
2011-03-31,1071,60.0,2011Q1,78.0,64.0,68.0,223.0,71.0,9.899494936611665,71.0,6.21825270205926,99.375,51.889821462677745,-8.0,0.8823529411764706
2011-06-30,936,63.0,2011Q2,60.0,78.0,74.0,85.0,69.0,12.727922061357855,69.0,8.406346808612366,79.0,16.008926081586935,-11.0,0.8513513513513513
2011-09-30,780,48.0,2011Q3,63.0,60.0,64.0,99.0,61.5,2.1213203435596424,66.25,8.015609770940737,76.25,16.705431110014153,-16.0,0.75
2011-12-31,1654,59.0,2011Q4,48.0,63.0,78.0,104.0,55.5,10.606601717798213,62.25,12.33896267925309,69.875,16.5135225972967,-19.0,0.7564102564102564
2012-03-31,2029,46.0,2012Q1,59.0,48.0,60.0,68.0,53.5,7.7781745930520225,57.5,6.5574385243020465,64.25,9.331207240835923,-14.0,0.7666666666666667
2012-06-30,1461,48.0,2012Q2,46.0,59.0,63.0,74.0,52.5,9.192388155425117,54.0,8.286535263104073,61.5,11.13552872566005,-15.0,0.7619047619047619
2012-09-30,1523,56.0,2012Q3,48.0,46.0,48.0,64.0,47.0,1.4142135623730951,50.25,5.909032633745329,58.25,10.753736892023039,8.0,1.1666666666666667
2012-12-31,1543,69.0,2012Q4,56.0,48.0,59.0,78.0,52.0,5.656854249492381,52.25,6.238322424071015,57.25,10.511898020814328,10.0,1.1694915254237288
2013-03-31,1109,41.0,2013Q1,69.0,56.0,46.0,60.0,62.5,9.192388155425117,54.75,10.436314802968875,56.125,8.201698430377535,-5.0,0.8913043478260869
2013-06-30,934,38.0,2013Q2,41.0,69.0,48.0,63.0,55.0,19.79898987322333,53.5,12.013880860626758,53.75,9.558093055476235,-10.0,0.7916666666666666
2013-09-30,649,95.0,2013Q3,38.0,41.0,56.0,48.0,39.5,2.1213203435596424,51.0,14.352700094407345,50.625,10.169105874447098,39.0,1.6964285714285714
2013-12-31,1185,44.0,2013Q4,95.0,38.0,69.0,59.0,66.5,40.30508652763321,60.75,26.76284738214528,56.5,18.554937733275057,-25.0,0.6376811594202898
2014-03-31,1178,54.0,2014Q1,44.0,95.0,41.0,46.0,69.5,36.062445840513924,54.5,27.110883423451927,54.625,19.018318237200386,13.0,1.3170731707317074
2014-06-30,1117,41.0,2014Q2,54.0,44.0,38.0,48.0,49.0,7.0710678118654755,57.75,25.695330315059206,55.625,18.707809675564455,3.0,1.0789473684210527
2014-09-30,945,40.0,2014Q3,41.0,54.0,95.0,56.0,47.5,9.192388155425117,58.5,24.959967948697383,54.75,19.27062902079595,-55.0,0.42105263157894735
2014-12-31,1393,67.0,2014Q4,40.0,41.0,44.0,69.0,40.5,0.7071067811865476,44.75,6.396613687465212,52.75,19.940984357419705,23.0,1.5227272727272727
2015-03-31,1264,46.0,2015Q1,67.0,40.0,54.0,41.0,53.5,19.091883092036785,50.5,12.714820748507126,52.5,19.719461018423985,-8.0,0.8518518518518519
2015-06-30,1156,44.0,2015Q2,46.0,67.0,41.0,38.0,56.5,14.849242404917497,48.5,12.609520212918518,53.125,19.379204612898118,3.0,1.0731707317073171
2015-09-30,1120,31.0,2015Q3,44.0,46.0,40.0,95.0,45.0,1.4142135623730951,49.25,12.093386622447852,53.875,18.818209266558817,-9.0,0.775
2015-12-31,1731,43.0,2015Q4,31.0,44.0,67.0,44.0,37.5,9.192388155425117,47.0,14.89966442575136,45.875,10.682930309610757,-24.0,0.6417910447761194
2016-03-31,1512,24.0,2016Q1,43.0,31.0,46.0,54.0,37.0,8.48528137423857,41.0,6.782329983125317,45.75,10.713809513227051,-22.0,0.5217391304347826
